CH,Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
62,CLT,UTAC1,453.2125000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,UTac 41 [LISTEN ONLY],,,,
63,CLT,UTAC2,458.2125000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,UTac 42 [LISTEN ONLY],,,,
64,CLT,8CALL,154.755000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,8-Call Interop [LISTEN ONLY],,,,
65,CLT,8TAC91,775.000000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,8-Tac 91 [LISTEN ONLY],,,,
66,CLT,8TAC92,800.000000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,8-Tac 92 [LISTEN ONLY],,,,
67,CLT,REGIONAL,453.550000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Regional Coordination [LISTEN ONLY],,,,
68,CLT,MUTUAL,453.800000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Mutual Aid [LISTEN ONLY],,,,
70,CLT,WX PRIM,162.400000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,4.0W,NOAA Charlotte Weather [LISTEN ONLY],,,,
71,CLT,WX SEC,162.475000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,4.0W,NOAA Weather Secondary [LISTEN ONLY],,,,
72,CLT,WX REG,162.500000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,4.0W,NOAA Weather Regional [LISTEN ONLY],,,,
73,CLT,WX COV,162.550000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,4.0W,NOAA Weather Coverage [LISTEN ONLY],,,,
80,CLT,VHF AIR,121.500000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,8.33,,4.0W,Aviation Emergency [LISTEN ONLY],,,,
81,CLT,VHF PUB,151.280000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,VHF Public Service [LISTEN ONLY],,,,
82,CLT,RAILROAD,160.800000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Railroad Operations [LISTEN ONLY],,,,
90,CLT,GMRS 15,462.550000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,General Mobile Radio [GMRS LICENSE REQ],,,,
91,CLT,FRS 1,462.562500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Family Radio Service [NO LICENSE],,,,
100,CLT,W4VEC,145.430000,-,0.600000,Tone,107.2,107.2,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Volunteer Examiner [HAM LICENSE REQ] [LEGACY],,,,
101,CLT,KC4USV,146.940000,-,0.600000,Tone,123.0,123.0,023,NN,023,Tone->Tone,FM,5.00,,4.0W,USC Emergency Net [HAM LICENSE REQ] [LEGACY],,,,
102,CLT,W4BFB-6,444.700000,+,5.000000,Tone,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,4.0W,BFB Emergency [HAM LICENSE REQ] [LEGACY],,,,
103,CLT,W4AMC,145.190000,-,0.600000,Tone,131.8,131.8,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Amateur Medical Corps [HAM LICENSE REQ] [LEGACY],,,,
104,CLT,KJ4KKD,442.075000,+,5.000000,Tone,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Digital Repeater [HAM LICENSE REQ] [LEGACY],,,,
