CH,Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
38,AVL,BCEMS 1,453.550000,off,0.000000,Tone,162.2,162.2,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Buncombe County EMS 1 [LISTEN ONLY],,,,
39,AVL,BCEMS 2,453.600000,off,0.000000,Tone,162.2,162.2,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Buncombe County EMS 2 [LISTEN ONLY],,,,
40,AVL,WNC EMS,453.650000,off,0.000000,Tone,136.5,136.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,WNC EMS Coordination [LISTEN ONLY],,,,
41,AVL,APD 1,460.125000,off,0.000000,DCS,174,174,174,NN,174,Tone->Tone,FM,5.00,,4.0W,Asheville PD Channel 1 [LISTEN ONLY],,,,
42,AVL,APD 2,460.175000,off,0.000000,DCS,174,174,174,NN,174,Tone->Tone,FM,5.00,,4.0W,Asheville PD Channel 2 [LISTEN ONLY],,,,
43,AVL,APD TAC,460.225000,off,0.000000,DCS,174,174,174,NN,174,Tone->Tone,FM,5.00,,4.0W,APD Tactical [LISTEN ONLY],,,,
44,AVL,BCSO 1,453.900000,off,0.000000,Tone,192.8,192.8,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Buncombe County SO 1 [LISTEN ONLY],,,,
45,AVL,BCSO 2,453.950000,off,0.000000,Tone,192.8,192.8,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Buncombe County SO 2 [LISTEN ONLY],,,,
46,AVL,BCSO TAC,458.900000,off,0.000000,Tone,192.8,192.8,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Buncombe SO Tactical [LISTEN ONLY],,,,
47,AVL,NC SHP,155.475000,off,0.000000,Tone,156.7,156.7,023,NN,023,Tone->Tone,FM,5.00,,4.0W,NC State Highway Patrol [LISTEN ONLY],,,,
48,AVL,NC WILD,155.340000,off,0.000000,Tone,123.0,123.0,023,NN,023,Tone->Tone,FM,5.00,,4.0W,NC Wildlife Resources [LISTEN ONLY],,,,
49,AVL,PARKWAY,168.050000,off,0.000000,Tone,167.9,167.9,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Blue Ridge Parkway NPS [LISTEN ONLY],,,,
50,AVL,NATL FOR,170.775000,off,0.000000,Tone,156.7,156.7,023,NN,023,Tone->Tone,FM,5.00,,4.0W,National Forest Service [LISTEN ONLY],,,,
51,AVL,BUNCOMBE,155.175000,off,0.000000,Tone,203.5,203.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Buncombe County EM [LISTEN ONLY],,,,
52,AVL,WNC EM,155.280000,off,0.000000,Tone,136.5,136.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,WNC Emergency Mgmt [LISTEN ONLY],,,,
53,AVL,AIRPORT,121.700000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,8.33,,4.0W,Asheville Regional Tower [LISTEN ONLY],,,,
54,AVL,GROUND,121.900000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,8.33,,4.0W,Asheville Ground [LISTEN ONLY],,,,
55,AVL,APPROACH,134.050000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,8.33,,4.0W,Asheville Approach [LISTEN ONLY],,,,
56,AVL,ATIS,119.425000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,8.33,,4.0W,Asheville ATIS [LISTEN ONLY],,,,
57,AVL,UNICOM,122.950000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,8.33,,4.0W,Airport UNICOM [LISTEN ONLY],,,,
58,AVL,VTAC11,151.1375000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,VTac 11 [LISTEN ONLY],,,,
59,AVL,VTAC12,154.4525000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,VTac 12 [LISTEN ONLY],,,,
60,AVL,UTAC41,453.2125000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,UTac 41 [LISTEN ONLY],,,,
61,AVL,UTAC42,458.2125000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,UTac 42 [LISTEN ONLY],,,,
62,AVL,TACALL,151.145000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Tactical Calling [LISTEN ONLY],,,,
63,AVL,8CALL,154.755000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,8-Call Interop [LISTEN ONLY],,,,
64,AVL,8TAC91,775.000000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,8-Tac 91 [LISTEN ONLY],,,,
65,AVL,8TAC92,800.000000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,8-Tac 92 [LISTEN ONLY],,,,
66,AVL,WNC COOR,453.700000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,WNC Regional Coord [LISTEN ONLY],,,,
67,AVL,MUTUAL,453.750000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,WNC Mutual Aid [LISTEN ONLY],,,,
68,AVL,SKYWARN,147.045000,off,0.000000,Tone,94.8,94.8,023,NN,023,Tone->Tone,FM,5.00,,4.0W,SKYWARN Spotter Net [LISTEN ONLY],,,,
70,AVL,WX PRIM,162.400000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,4.0W,NOAA Asheville Weather [LISTEN ONLY],,,,
71,AVL,WX SEC,162.475000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,4.0W,NOAA Weather Secondary [LISTEN ONLY],,,,
72,AVL,WX REG,162.500000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,4.0W,NOAA Weather Regional [LISTEN ONLY],,,,
73,AVL,WX COV,162.525000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,4.0W,NOAA Weather Coverage [LISTEN ONLY],,,,
80,AVL,VHF AIR,121.500000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,8.33,,4.0W,Aviation Emergency [LISTEN ONLY],,,,
81,AVL,VHF PUB,151.280000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,VHF Public Service [LISTEN ONLY],,,,
82,AVL,RAILROAD,161.010000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Norfolk Southern [LISTEN ONLY],,,,
90,AVL,GMRS 15,462.550000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,General Mobile Radio [GMRS LICENSE REQ],,,,
91,AVL,FRS 1,462.562500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Family Radio Service [NO LICENSE],,,,
100,AVL,W4UNC,145.250000,-,0.600000,Tone,107.2,107.2,023,NN,023,Tone->Tone,FM,5.00,,4.0W,UNC Asheville [HAM LICENSE REQ] [LEGACY],,,,
101,AVL,K4BRC,146.880000,-,0.600000,Tone,123.0,123.0,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Buncombe Radio Club [HAM LICENSE REQ] [LEGACY],,,,
102,AVL,WX4AVL,444.450000,+,5.000000,Tone,131.8,131.8,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Asheville Weather Net [HAM LICENSE REQ] [LEGACY],,,,
103,AVL,NC4SAR,442.950000,+,5.000000,Tone,146.2,146.2,023,NN,023,Tone->Tone,FM,5.00,,4.0W,WNC Search and Rescue [HAM LICENSE REQ] [LEGACY],,,,
104,AVL,W4MTN,145.430000,-,0.600000,Tone,167.9,167.9,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Mountain Emergency [HAM LICENSE REQ] [LEGACY],,,,
